"Name","Version","License","URL"
"CacheControl","0.12.6","Apache Software License","https://github.com/ionrock/cachecontrol"
"Escher","1.7.3","MIT License","https://escher.github.io"
"Flask","1.1.2","BSD License","https://palletsprojects.com/p/flask/"
"Flask-Admin","1.5.6","BSD License","https://github.com/flask-admin/flask-admin/"
"Flask-BasicAuth","0.2.0","BSD License","https://github.com/jpvanhal/flask-basicauth"
"Flask-Cors","3.0.8","MIT License","https://github.com/corydolphin/flask-cors"
"Flask-Migrate","2.5.3","MIT License","http://github.com/miguelgrinberg/flask-migrate/"
"Flask-SQLAlchemy","2.4.3","BSD License","https://github.com/pallets/flask-sqlalchemy"
"IProgress","0.4","GNU Library or Lesser General Public License (LGPL), BSD License","https://github.com/aebrahim/IProgress"
"Jinja2","2.11.2","BSD License","https://palletsprojects.com/p/jinja/"
"Mako","1.1.3","MIT License","https://www.makotemplates.org/"
"MarkupSafe","1.1.1","BSD License","https://palletsprojects.com/p/markupsafe/"
"PyYAML","5.3.1","MIT License","https://github.com/yaml/pyyaml"
"Pygments","2.6.1","BSD License","https://pygments.org/"
"SQLAlchemy","1.3.17","MIT License","http://www.sqlalchemy.org"
"Send2Trash","1.5.0","BSD License","https://github.com/hsoft/send2trash"
"WTForms","2.3.1","BSD License","https://wtforms.readthedocs.io/"
"Werkzeug","1.0.1","BSD License","https://palletsprojects.com/p/werkzeug/"
"alembic","1.4.2","MIT License","https://alembic.sqlalchemy.org"
"apispec","3.3.1","MIT License","https://github.com/marshmallow-code/apispec"
"appdirs","1.4.4","MIT License","http://github.com/ActiveState/appdirs"
"atomicwrites","1.4.0","MIT License","https://github.com/untitaker/python-atomicwrites"
"attrs","19.3.0","MIT License","https://www.attrs.org/"
"backcall","0.2.0","BSD License","https://github.com/takluyver/backcall"
"black","19.10b0","MIT License","https://github.com/psf/black"
"bleach","3.1.5","Apache Software License","https://github.com/mozilla/bleach"
"blessings","1.7","MIT License","https://github.com/erikrose/blessings"
"blinker","1.4","MIT License","http://pythonhosted.org/blinker/"
"cachetools","4.1.0","MIT License","https://github.com/tkem/cachetools/"
"cameo","0.11.15","Apache Software License","http://cameo.bio"
"certifi","2020.6.20","Mozilla Public License 2.0 (MPL 2.0)","https://certifiio.readthedocs.io/en/latest/"
"chardet","3.0.4","GNU Library or Lesser General Public License (LGPL)","https://github.com/chardet/chardet"
"click","7.1.2","BSD License","https://palletsprojects.com/p/click/"
"cobra","0.18.1","GNU Lesser General Public License v2 or later (LGPLv2+), GNU General Public License v2 or later (GPLv2+)","https://opencobra.github.io/cobrapy"
"coverage","5.1","Apache Software License","https://github.com/nedbat/coveragepy"
"decorator","4.4.2","BSD License","https://github.com/micheles/decorator"
"defusedxml","0.6.0","Python Software Foundation License","https://github.com/tiran/defusedxml"
"depinfo","1.5.3","Apache Software License","https://github.com/Midnighter/dependency-info"
"dparse","0.5.1","MIT License","https://github.com/pyupio/dparse"
"ecdsa","0.15","MIT","http://github.com/warner/python-ecdsa"
"entrypoints","0.3","MIT License","https://github.com/takluyver/entrypoints"
"et-xmlfile","1.0.1","MIT License","https://bitbucket.org/openpyxl/et_xmlfile"
"firebase-admin","4.3.0","Apache Software License","https://firebase.google.com/docs/admin/setup/"
"flake8","3.8.3","MIT License","https://gitlab.com/pycqa/flake8"
"flake8-bugbear","20.1.4","MIT License","https://github.com/PyCQA/flake8-bugbear"
"flake8-docstrings","1.5.0","MIT License","https://gitlab.com/pycqa/flake8-docstrings"
"flask-apispec","0.9.0","MIT License","https://github.com/jmcarp/flask-apispec"
"future","0.18.2","MIT License","https://python-future.org"
"fuzzywuzzy","0.18.0","GNU General Public License v2 (GPLv2)","https://github.com/seatgeek/fuzzywuzzy"
"gevent","20.6.2","MIT License","http://www.gevent.org/"
"gnomic","1.0.1","Apache Software License","UNKNOWN"
"google-api-core","1.17.0","Apache Software License","https://github.com/googleapis/python-api-core"
"google-api-python-client","1.8.3","Apache Software License","http://github.com/google/google-api-python-client/"
"google-auth","1.15.0","Apache Software License","https://github.com/googleapis/google-auth-library-python"
"google-auth-httplib2","0.0.3","Apache Software License","https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2"
"google-cloud-core","1.3.0","Apache Software License","https://github.com/GoogleCloudPlatform/google-cloud-python"
